Cuisines,Food item,Session consumed,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
kongu naadu,undakkai Vathal Kuzhambu,Lunch/Dinner,1 tablespoon,0.80,5.00,3.00,0.00,35.1,11.70,49.00
kongu naadu,Murungai Keerai Poriyal,Lunch/Dinner,1 cup,1.40,2.60,0.40,1.90,65,21.00,19.00
kongu naadu,Thengai Paal Kozhi,Lunch/Dinner,1 cup,24.50,11.70,20.70,3.70,42.5,250.00,324.00
kongu naadu,Avarakkai Poriyal,Lunch/Dinner,1 cup,6.40,11.40,11.50,11.10,92,166.00,175.00
kongu naadu,Kongunadu Urundai Kuzhambu,Lunch/Dinner,1 cup,7.80,25.50,11.50,5.70,69,250.00,234.00
kongu naadu,Seeraga Samba Rice Biriyani,Lunch/Dinner,1 cup,4.00,35.00,7.10,2.80,32,206.00,223.00
kongu naadu,Nethili Fry,Snack/Lunch/Dinner,1 cup,26.70,9.20,31.50,1.90,72,166.00,424.00
kongu naadu,Kootu,Lunch/Dinner,1 cup,17.50,110.70,4.10,17.00,108,170.00,549.00
pandya naadu,Madurai Jigarthanda,Dessert,1 glass,9.60,34.60,16.30,0.00,344,250.00,319.00
pandya naadu,Chettinad Pepper Chicken,Lunch/Dinner,1 bowl,42.60,8.80,16.00,5.00,90,291.00,347.00
pandya naadu,Tuticorin Macaroon,Dessert,1 piece,3.20,10.90,5.50,0.30,4,30.00,105.00
pandya naadu,ennai parotta,Breakfast/Lunch/Dinner,1 piece,4.90,34.90,14.90,1.10,34.21,80.00,295.00
pandya naadu,Nagercoil Mutton Kuzhambu*,Lunch/Dinner,1 cup,3.70,16.50,20.00,7.40,61,250.00,255.00
pandya naadu,Tirunelveli Halwa,Dessert,1 cup,2.10,80.00,15.00,1.20,9.62,216.00,452.00
pandya naadu,Pazham Pori with Nendram Pazham,Snack,1 piece,0.70,7.90,3.90,0.40,3.63,30.00,69.00
pandya naadu,Alagar Kovil Dosai,Breakfast/Dinner,1 piece,4.60,24.10,4.70,3.00,26.7,80.00,157.00
pandya naadu,Palayamkottai Mutton Biriyani*,Lunch/Dinner,1 bowl,16.60,41.30,22.50,1.40,181.66,289.00,437.00
pandya naadu,Srivilliputhur Palkova,Dessert,1 cup,24.20,63.60,42.80,0.00,1158,166.00,732.00
pandya naadu,Meen Kuzhambu,Lunch/Dinner,1 cup,22.80,11.00,23.00,3.60,51.11,250.00,280.00
pandya naadu,Chettinadu Idiyappam with Coconut Milk,Breakfast,1 piece,1.20,15.70,0.80,0.50,2.94,50.00,77.00
pandya naadu,Kovilpatti Kadalai Mitta,Snack,1 piece,1.00,5.00,2.00,0.30,7,8.30,40.00
pandya naadu,Madurai Mutton Balls,Lunch/Dinner,1 piece,4.00,0.50,9.00,0.10,2.39,30.00,100.00
north kerala,Thalassery Biriyani,Lunch/Dinner,1 cup,12.60,29.50,10.70,1.40,41,206.00,269.00
north kerala,Kallummakkaya (Mussels) Curry,Lunch/Dinner,1 bowl,11.20,10.20,16.00,3.60,379,200.00,218.00
north kerala,pathiri,Breakfast/Dinner,1 piece,0.70,9.40,0.80,0.30,1.73,30.00,49.00
north kerala,Arikkadukka,Snack,1 piece,3.60,14.30,6.90,1.60,15.31,50.00,135.00
north kerala,unnakaya,Snack,1 piece,1.10,13.20,12.10,2.00,4.48,50.00,163.00
north kerala,malabar parotta,Breakfast/Lunch/Dinner,1 piece,4.90,34.90,14.90,1.10,34.21,80.00,295.00
north kerala,Kozhi Pidi,Lunch/Dinner,1 cup,19.20,27.30,14.30,4.60,39,216.00,318.00
north kerala,Chatti Pathiri,Dessert/Snack,1 slice,18.70,17.70,10.10,1.30,67,160.00,238.00
north kerala,Fish Mango Curry,Lunch/Dinner,1 cup,28.00,15.20,8.00,0.90,71,250.00,242.00
north kerala,Kadukka (Mussels) Fry,Snack,1 cup,19.00,3.00,11.40,0.50,775,166.00,191.00
north kerala,Kozhikode Biryani,Lunch/Dinner,1 cup,13.30,29.40,11.40,1.00,60.6,206.00,277.00
north kerala,Kannur Meen Curry,Lunch/Dinner,1 bowl,19.50,5.90,8.60,2.00,58.19,150.00,181.00
north kerala,Payyoli Chicken Fry,Lunch/Dinner,1 cup,29.80,2.80,18.20,1.50,34.81,166.00,302.00
south kerala,Karimeen Pollichathu,Lunch/Dinner,1 piece,10.30,3.20,13.80,0.60,18.52,80.00,179.00
south kerala,Puttu and Kadala Curry,Breakfast,1 cup,14.40,124.10,23.00,17.50,95.57,450.00,771.00
south kerala,appam,Breakfast/Dinner,1 piece,2.40,22.50,1.90,0.90,4.21,60.00,116.00
south kerala,cocunut stew,Breakfast/Lunch/Dinner,1 cup,7.30,25.40,16.70,6.90,61.92,250.00,269.00
south kerala,idiyappam,Breakfast,1 piece,1.20,15.70,0.80,0.50,2.94,50.00,77.00
south kerala,Pazham Pori,Snack,1 piece,0.70,7.90,3.90,0.40,3.63,30.00,69.00
south kerala,Nadan Kozhi Curry,Lunch/Dinner,1 cup,25.00,10.00,16.60,2.40,29.38,250.00,291.00
south kerala,Fish Moilee,Lunch/Dinner,1 bowl,29.80,16.20,3.70,4.70,68.92,350.00,449.00
south kerala,Kappa (Tapioca) with Meen Curry,Lunch/Dinner,1 bowl,11.30,42.90,6.90,3.60,50.91,350.00,271.00
south kerala,Kanava Thoran,Lunch/Dinner,1 cup,19.00,12.60,11.60,3.00,72.14,166.00,233.00
south kerala,Palada Pradhaman,Dessert,1 cup,9.40,63.80,12.40,0.50,255,250.00,398.00
south kerala,avial,Lunch/Dinner,1 cup,3.20,20.00,10.90,6.50,80,250.00,190.00
south kerala,Vellayappam,Breakfast,1 piece,2.40,20.10,4.10,1.70,4.51,65.00,127.00
central kerala,erissery,Lunch/Dinner,1 cup,8.00,19.60,16.20,4.20,50,250.00,256.00
central kerala,koottu curry,Lunch/Dinner,1 cup,7.30,35.10,12.50,13.80,82.56,250.00,279.00
central kerala,olan,Lunch/Dinner,1 cup,7.00,16.60,11.50,3.20,38.75,250.00,195.00
central kerala,yam theeyal,Lunch/Dinner,1 bowl,3.10,28.40,22.10,7.90,66.46,350.00,322.00
central kerala,thoran,Lunch/Dinner,1 cup,4.20,18.00,7.30,6.00,54,166.00,152.00
central kerala,vattayappam,Breakfast/Snack,1 piece,0.90,11.30,1.90,0.50,2.13,30.00,65.00
central kerala,meen peera,Lunch/Dinner,1 cup,16.80,9.00,17.40,3.00,60,166.00,256.00
central kerala,kappa vevichathu,Breakfast/Lunch/Dinner,1 cup,1.30,38.00,3.80,1.90,34,166.00,191.00
central kerala,Kozhi Pidi,Lunch/Dinner,1 cup,19.20,27.30,14.30,4.60,39,216.00,318.00
central kerala,palappam,Breakfast/Dinner,1 piece,1.90,14.40,9.00,2.80,3.78,50.00,146.00
konkan ,Sol Kadhi,Drink,1 cup,1.60,7.20,14.80,1.90,6.06,250.00,158.00
konkan,Amboli,Breakfast,1 amboli,4.00,20.90,3.20,1.50,8.83,60.00,128.00
konkan ,Modak,Dessert,1 modak,1.30,19.40,5.70,1.90,10.51,50.00,135.00
konkan,Malvani Fish Curry,Lunch/Dinner,1 cup,21.10,8.30,14.60,3.30,119.71,250.00,248.00
konkan ,Phanasachi Bhaji,Lunch/Dinner,1 cup,2.40,23.60,7.80,2.60,37.78,166.00,165.00
konkan,Kombdi Vade,Lunch/Dinner,3 vade 1 kartori curry,26.20,43.60,25.30,6.50,81.95,270.00,508.00
konkan ,Solachi Kadhi,Drink,1 cup,1.60,7.20,14.80,1.90,6.06,250.00,158.00
konkan,Ukadiche Modak,Dessert,1 modak,1.30,19.40,5.70,1.90,10.51,50.00,135.00
konkan ,Tandalachi Bhakri,Breakfast/Lunch,1 bhakri,1.70,22.80,0.40,0.70,3.55,50.00,104.00
konkan,Bombil duck Fry,Lunch/Dinner,1 bombil,6.00,0.80,4.90,0.10,71.33,50.00,73.00
konkan ,Ambapoli,Snack,1 sqare,0.10,8.60,0.00,0.00,1.47,10.00,35.00
konkan,Valache Birdhe,Lunch/Dinner,1 cup,10.90,28.70,5.60,11.70,49.37,250.00,207.00
konkan ,Kaju Usal,Lunch/Dinner,1 cup,7.80,16.40,20.70,1.80,29.25,250.00,263.00
konkan,Tisryanche Suke,Lunch/Dinner,1 cup,19.00,8.10,10.20,1.50,59.42,166.00,205.00
konkan ,Poha Chivda,Snack,1 cup,3.10,21.90,3.90,0.70,12.58,35.00,133.00
konkan,Konkani coconut Curry,Lunch/Dinner,1 bowl,4.40,13.30,29.40,9.60,61.67,350.00,335.00
konkan ,Batata Song,Lunch/Dinner,1 cup,2.60,30.80,8.10,3.40,30.35,216.00,203.00
konkan,Shevayachi Kheer,Dessert,1 cup,14.40,65.00,25.40,3.60,405.42,250.00,535.00
konkan ,Karanji,Dessert,1 karanji,2.10,20.10,8.60,1.60,15.27,40.00,165.00
konkan,Gajbaje,Lunch/Dinner,1 cup,3.00,14.80,16.70,4.70,28.47,250.00,221.00
Nashik Division,Khandeshi Mutton curry,Lunch/Dinner,1 bowl,24.70,12.50,27.50,3.10,242.89,350.00,395.00
Nashik Division,Misal Pav (Nashik Style),Breakfast/Lunch,2 pavs,9.80,57.00,10.80,2.30,50.98,230.00,364.00
Nashik Division,Soya Chunks Bhaji,Lunch/Dinner,1 cup,14.10,18.30,6.90,6.50,108.54,250.00,190.00
Nashik Division,Thalipeeth (Nashik Style),Breakfast/Lunch/Dinner,1 thalipeeth,4.50,21.30,5.70,4.00,33.06,80.00,151.00
Nashik Division,Bharli Vangi,Lunch/Dinner,1 cup,4.80,14.70,17.60,6.80,51.94,216.00,230.00
Nashik Division,Sabudana Thalipeeth,Breakfast/Lunch/Dinner,1 thalipeeth,2.60,28.70,8.00,1.60,14.24,80.00,197.00
Nashik Division,Bhajani Chakli,Snack,1 chakli,1.00,6.30,2.60,0.10,3.81,15.00,51.00
Nashik Division,Zunka Bhakri,Lunch/Dinner,1 piece,2.10,6.50,1.60,1.30,9.98,40.00,48.00
Nashik Division,Nashik Kala Masoor,Lunch/Dinner,1 cup,13.20,33.50,3.10,9.50,72.01,250.00,213.00
Nashik Division,Tomato Saar,Lunch,1 cup,1.80,6.40,7.40,3.70,30.03,250.00,100.00
Nashik Division,Danyachi Amti,Lunch/Dinner,1 cup,10.90,10.90,35.80,8.40,48.83,250.00,394.00
