Cuisines,Food item,Type,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
general,veg stew,veg,1 bowl (2 cups),5.83,25.79,3.76,3.37,0,482.0,159.06,,0,0,5.0,0
South Indian,chapati + plain chana dal,veg,"1 medium + 1 cup cooked",15.98,60.16,8.19,15.37,0,222.4,371.31,,1,1,5.0,0
South Indian,chapati + lentil dal,veg,1 medium + 1 cup,17.39,52.39,7.859999999999999,16.77,0,254.26,341.48,,1,1,5.0,0
South Indian,chapati + coconut dal,veg,1 medium + 1 cup,9.89,34.31,19.96,8.879999999999999,0,180.55,344.34000000000003,,1,1,5.0,0
South Indian,chapati + dal,veg,1 medium + 1 cup,17.39,52.39,7.859999999999999,16.77,0,254.26,341.48,,1,1,5.0,0
South Indian,chapati + chana dal,veg,"1 medium + 1 cup cooked",15.98,60.16,8.19,15.37,0,222.4,371.31,,1,1,5.0,0
South Indian,chapati + moong dal,veg,1 medium + 1 cup,18.85,58.97,5.73,19.78,0,246.46,355.27,,1,1,5.0,0
South Indian,chapati + lauki sabzi,veg,1 medium + 1 cup,5.03,29.61,6.35,7.18,0,279.3,188.68,,1,1,5.0,0
South Indian,chapati + qormeh sabzi,non veg,1 medium + 1 bowl (2 cups),47.76,51.290000000000006,28.48,11.93,0,543.4,642.87,,1,1,5.0,mutton
South Indian,chapati + mawa paneer curry,veg,1 medium + 1 cup,16.54,35.17,23.17,5.81,0,238.29,408.36,,1,1,5.0,0
South Indian,chapati + palak paneer,veg,1 medium + 1 cup,18.2,28.46,34.160000000000004,6.52,0,240.0,485.13,,1,1,5.0,0
South Indian,chapati + baingan bharta,veg,1 medium + 1 cup,5.28,35.92,9.32,8.7,0,273.92,237.01,,1,1,5.0,0
South Indian,chapati + dal makhani,veg,1 medium + 1 serving,19.42,57.92999999999999,27.89,17.09,0,293.46000000000004,546.49,,1,1,5.0,0
South Indian,chapati + bhindi fry,veg,1 medium + 1 cup,6.0,30.05,20.37,7.82,0,226.45,315.53,,1,1,5.0,0
South Indian,chapati + veggie stir fry,veg,1 medium + 1 cup,9.17,33.84,14.57,8.89,0,277.82,290.15,,1,1,5.0,0
South Indian,chapati + dahi,veg,1 medium + 5.3 oz container,16.64,24.42,11.18,3.88,0,190.0,265.1,,1,1,5.0,0
